bias,closestFood,closestFoodNow,closestGhost,closestGhostNow,closestScaredGhost,closestScaredGhostNow,eatenByGhost,eatsCapsule,eatsFood,foodCount,foodWithinFiveSpaces,foodWithinNineSpaces,foodWithinThreeSpaces,furthestFood,numberAvailableActions,ratioCapsuleDistance,ratioFoodDistance,ratioGhostDistance,ratioScaredGhostDistance,label
1.0,1.0,1.0,0.031818181818181815,0.0228310502283105,1.0,1.0,0.0,0.0,0.6227263297326443,0.9175257731958762,0.7307692307692307,0.7288135593220338,0.5,0.84,0.6,0.5200000000000001,0.30434782608695654,0.5833333333333334,0.3333333333333333,0
1.0,0.29629629629629634,1.0,0.022727272727272728,0.0228310502283105,1.0,1.0,0.0,0.0,0.36620648989915894,0.9278350515463918,0.9230769230769231,0.864406779661017,0.7142857142857143,0.76,0.6,0.5200000000000001,1.0,0.4166666666666667,0.3333333333333333,0
1.0,1.0,1.0,0.031818181818181815,0.0228310502283105,1.0,1.0,0.0,0.0,0.8209288775434084,0.9175257731958762,0.8461538461538461,0.6779661016949152,0.8571428571428571,0.84,0.6,0.2800000000000001,0.30434782608695654,0.5833333333333334,0.3333333333333333,1
1.0,0.47222222222222227,1.0,0.02727272727272727,0.0228310502283105,1.0,1.0,0.0,0.0,0.5162827908145597,0.9278350515463918,1.0,0.7627118644067796,0.7857142857142857,0.8,0.8,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,0.031818181818181815,0.0319634703196347,1.0,1.0,0.0,0.0,0.6874987766654657,0.9072164948453608,0.9615384615384616,0.6610169491525424,0.8571428571428571,0.8,0.6,0.26666666666666666,0.18840579710144925,0.4375,0.3333333333333333,1
1.0,0.47222222222222227,1.0,0.031818181818181815,0.0319634703196347,1.0,1.0,0.0,0.0,0.24198198661162157,0.9175257731958762,0.9615384615384616,0.7457627118644068,0.7142857142857143,0.8,0.8,0.5333333333333334,0.6521739130434783,0.4375,0.3333333333333333,0
1.0,0.47222222222222227,1.0,0.03636363636363636,0.0319634703196347,1.0,1.0,0.0,0.0,0.23249231232923723,0.9175257731958762,0.8461538461538461,0.6779661016949152,0.8571428571428571,0.84,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,0.031818181818181815,0.0319634703196347,1.0,1.0,0.0,0.0,0.6373049332103038,0.8969072164948454,1.0,0.6610169491525424,0.7142857142857143,0.76,1.0,0.25000000000000006,0.18840579710144925,0.4375,0.3333333333333333,1
1.0,0.29629629629629634,1.0,0.04090909090909091,0.0319634703196347,1.0,1.0,0.0,0.0,0.3323300674085156,0.9072164948453608,0.8076923076923077,0.6610169491525424,0.7857142857142857,0.84,0.6,0.55,1.0,0.5625,0.3333333333333333,0
1.0,0.47222222222222227,1.0,0.03636363636363636,0.0319634703196347,1.0,1.0,0.0,0.0,0.33580100977849847,0.9072164948453608,0.9615384615384616,0.6610169491525424,0.8571428571428571,0.8,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,1.0,0.031818181818181815,0.0319634703196347,1.0,1.0,0.0,0.0,0.5858038344285168,0.8865979381443299,0.9230769230769231,0.6610169491525424,0.8571428571428571,0.76,0.6,0.22857142857142854,0.30434782608695654,0.4375,0.3333333333333333,0
1.0,0.29629629629629634,1.0,0.04090909090909091,0.0319634703196347,1.0,1.0,0.0,0.0,0.31747897185798957,0.8969072164948454,0.9230769230769231,0.6440677966101694,0.7857142857142857,0.8,0.6,0.5714285714285714,1.0,0.5625,0.3333333333333333,0
1.0,1.0,1.0,0.031818181818181815,0.0319634703196347,1.0,1.0,0.0,0.0,0.6383138853704297,0.8865979381443299,0.9230769230769231,0.711864406779661,0.8571428571428571,0.72,0.6,0.5714285714285714,0.30434782608695654,0.4375,0.3333333333333333,0
1.0,1.0,1.0,0.04090909090909091,0.0319634703196347,1.0,1.0,0.0,0.0,0.6703861317873204,0.8865979381443299,0.8846153846153846,0.5932203389830508,0.6428571428571429,0.8,0.6,0.22857142857142854,0.30434782608695654,0.5625,0.3333333333333333,1
1.0,0.47222222222222227,1.0,0.03636363636363636,0.0319634703196347,1.0,1.0,0.0,0.0,0.2882150809031297,0.8969072164948454,1.0,0.6610169491525424,0.7142857142857143,0.76,1.0,0.4,0.6521739130434783,0.5,0.3333333333333333,0
